,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, C,, l,, l/h,, MPa,, ,, ,
,0.24,0,0.36,0,0.46,23.1,0.57,14.5,0.69,48.4,0.83,75.024,0.97,13.0,1.10,24.00,1.23,1.15,1.35,3.63,1.49,0,0.14,0.00000,
,1.74,0,1.86,1,1.95,32.5,2.07,14.5,2.19,50.7,2.33,75.024,2.45,13.0,2.56,24.00,2.69,1.19,2.81,3.63,2.95,0,1.64,0.00000,
,3.19,0,3.28,3,3.39,41.2,3.50,14.5,3.62,55.7,3.76,74.904,3.90,13.0,4.01,24.00,4.16,1.15,4.30,3.54,4.43,0,3.09,0.00000,
,4.69,0,4.80,4,4.91,34.9,5.02,14.5,5.15,51.0,5.28,73.424,5.42,13.9,5.55,24.00,5.68,1.07,5.80,3.51,5.93,0,4.58,0.00363,
,6.17,0,6.28,6,6.39,34.5,6.48,14.5,6.59,49.2,6.73,73.664,6.85,13.0,6.97,24.00,7.10,1.04,7.22,3.51,7.35,0,6.06,0.00504,
,7.61,0,7.71,7,7.81,34.9,7.93,14.5,8.05,48.0,8.19,71.724,8.33,13.0,8.46,24.00,8.58,1.01,8.72,3.51,8.85,0,7.50,0.00073,
,9.12,0,9.21,8,9.32,32.5,9.42,14.5,9.55,46.1,9.69,71.144,9.83,13.5,9.95,24.00,10.08,0.97,10.21,3.33,10.34,0,8.99,0.02051,
,10.61,0,10.70,10,10.82,32.2,10.93,14.5,11.05,44.9,11.20,71.004,11.34,13.5,11.48,24.00,11.62,0.94,11.76,2.07,11.91,0,10.49,0.00000,
,12.18,0,12.31,12,12.44,32.2,12.56,14.5,12.70,43.5,12.84,71.004,12.99,13.5,13.14,24.00,13.27,0.93,13.41,-0.03,13.55,0,12.06,0.00000,
,13.82,0,13.95,13,14.07,31.4,14.20,14.5,14.34,42.8,14.48,70.884,14.62,13.5,14.76,24.00,14.92,0.92,15.07,-0.03,15.21,0,13.69,0.01602,
,15.48,0,15.60,15,15.73,30.6,15.85,14.5,15.99,42.7,16.16,70.444,16.28,13.5,16.42,24.00,16.56,0.91,16.71,-0.03,16.85,0,15.35,0.00000,
,17.13,0,17.25,17,17.39,31.0,17.49,14.5,17.66,43.2,17.78,69.804,17.92,13.5,18.07,24.00,18.21,0.92,18.35,-0.03,18.49,0,16.99,0.00000,
,18.76,0,18.90,18,19.01,31.0,19.16,14.5,19.28,43.1,19.43,69.624,19.57,13.5,19.71,24.00,19.85,0.90,20.00,-0.03,20.16,0,18.65,0.01813,
,20.42,0,20.55,20,20.67,31.0,20.80,14.9,20.94,41.9,21.09,69.504,21.23,13.5,21.37,24.00,21.51,0.90,21.67,-0.03,21.83,0,20.28,0.01184,
,22.10,0,22.23,21,22.35,31.4,22.48,14.9,22.62,44.7,22.76,69.044,22.92,13.9,23.06,24.00,23.20,0.92,23.33,-0.03,23.45,0,21.97,0.00000,
,23.72,0,23.85,23,23.97,31.0,24.10,14.9,24.24,42.9,24.40,68.564,24.53,13.9,24.67,24.00,24.81,0.89,24.97,-0.03,25.11,0,23.59,0.02573,
,25.40,0,25.52,25,25.65,32.2,25.78,14.9,25.91,44.0,26.05,68.304,26.20,13.9,26.34,24.00,26.48,0.94,26.62,-0.03,26.76,0,25.26,0.03482,
,27.04,0,27.18,26,27.31,32.5,27.42,14.9,27.56,45.4,27.71,68.444,27.85,13.9,27.99,24.00,28.15,0.96,28.28,-0.03,28.42,0,26.92,0.01184,
,28.68,0,28.81,28,28.94,32.5,29.08,14.9,29.22,44.9,29.36,67.984,29.51,13.9,29.67,24.00,29.81,0.94,29.95,-0.03,30.09,0,28.56,0.00000,
,30.35,0,30.47,30,30.60,32.2,30.73,14.9,30.87,45.4,31.01,66.804,31.17,13.9,31.30,24.00,31.44,0.95,31.60,-0.03,31.74,0,30.22,0.04388,
,32.01,0,32.14,31,32.26,34.1,32.40,14.5,32.53,46.9,32.68,66.524,32.82,13.5,32.97,24.00,33.11,1.01,33.24,-0.03,33.38,0,31.88,0.00641,
,33.66,0,33.78,33,33.91,35.7,34.04,14.5,34.18,49.7,34.32,65.424,34.46,13.9,34.60,24.00,34.75,1.08,34.89,-0.03,35.01,0,33.52,0.00214,
,35.30,0,35.43,35,35.55,38.4,35.68,14.5,35.82,55.3,35.96,65.204,36.11,13.5,36.25,24.00,36.39,1.16,36.53,0.00,36.69,0,35.17,0.00000,
