,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, C,, l,, l/h,, MPa,, ,, ,
,1.02,0,1.14,68,1.25,31.0,1.35,14.5,1.46,44.6,0.10,30.604,0.25,11.6,0.37,9.00,0.51,0.95,0.64,-0.03,0.78,0,0.92,0.00000,
,2.48,0,2.58,69,2.68,31.0,2.77,14.5,2.88,44.7,1.59,30.724,1.72,11.6,1.85,9.00,1.99,0.94,2.10,-0.03,2.25,0,2.36,0.00287,
,3.95,0,4.06,71,4.17,31.4,4.28,14.5,4.40,45.6,3.01,30.724,3.14,11.6,3.27,9.00,3.41,0.94,3.55,-0.03,3.70,0,3.84,0.01270,
,5.44,0,5.55,72,5.66,33.3,5.77,14.5,5.90,46.4,4.54,30.544,4.68,11.6,4.81,9.00,4.93,0.96,5.06,-0.03,5.19,0,5.33,0.00000,
,6.98,0,7.08,74,7.19,32.9,7.31,14.5,7.44,46.3,6.05,30.344,6.19,11.6,6.30,9.00,6.44,0.98,6.58,-0.03,6.72,0,6.86,0.01422,
,8.49,0,8.60,75,8.73,33.7,8.82,14.5,8.95,47.5,7.59,30.344,7.73,11.6,7.86,9.00,8.00,1.00,8.11,-0.03,8.26,0,8.38,0.00497,
,9.99,0,10.10,77,10.22,32.5,10.32,14.5,10.44,46.5,9.09,30.404,9.23,11.6,9.36,9.00,9.50,1.00,9.61,-0.03,9.75,0,9.88,0.01358,
,11.49,0,11.60,78,11.71,33.3,11.80,14.5,11.94,46.7,10.58,30.524,10.72,11.6,10.85,9.00,10.99,0.99,11.10,-0.03,11.25,0,11.38,0.01273,
,13.01,0,13.12,80,13.24,33.3,13.34,14.5,13.47,46.7,12.08,30.544,12.23,11.6,12.36,9.00,12.49,1.00,12.62,-0.03,12.77,0,12.90,0.00000,
,14.50,0,14.60,81,14.71,32.9,14.82,14.5,14.93,46.8,13.60,30.544,13.74,11.6,13.87,9.00,14.00,0.99,14.12,-0.03,14.26,0,14.39,0.00000,
,15.95,0,16.05,83,16.16,33.7,16.26,14.5,16.39,46.7,15.06,30.464,15.19,12.1,15.30,9.00,15.43,0.99,15.56,-0.03,15.70,0,15.85,0.00000,
,17.44,0,17.55,84,17.66,32.5,17.77,14.5,17.90,46.6,16.54,30.464,16.68,12.1,16.81,9.00,16.93,0.99,17.05,-0.03,17.19,0,17.33,0.01340,
,18.95,0,19.06,86,19.17,33.7,19.28,14.5,19.41,46.5,18.04,30.484,18.18,12.1,18.31,9.00,18.44,0.97,18.56,-0.03,18.70,0,18.84,0.00571,
,20.45,0,20.56,87,20.67,32.9,20.77,14.5,20.90,46.9,19.54,30.284,19.68,12.1,19.81,9.00,19.94,0.98,20.06,-0.03,20.19,0,20.34,0.00000,
,21.91,0,22.02,89,22.13,33.3,22.25,14.5,22.37,46.3,21.04,30.104,21.18,12.1,21.31,9.00,21.43,0.97,21.55,-0.03,21.69,0,21.81,0.00143,
,23.42,0,23.53,90,23.64,32.5,23.74,14.5,23.87,46.2,22.51,30.104,22.63,12.1,22.77,9.00,22.90,0.97,23.02,-0.03,23.17,0,23.31,0.00000,
,24.91,0,25.02,92,25.13,32.9,25.25,14.5,25.37,45.6,24.02,30.104,24.14,12.1,24.27,9.00,24.38,0.98,24.52,-0.03,24.66,0,24.80,0.01059,
,26.36,0,26.47,93,26.57,32.5,26.68,14.5,26.81,46.1,25.51,30.044,25.62,12.1,25.75,9.00,25.86,0.98,26.00,-0.03,26.12,0,26.26,0.01340,
