,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, C,, l,, l/h,, MPa,, ,, ,
,0.04,0,0.14,241,0.26,24.7,0.35,14.9,0.48,26.1,0.61,58.424,0.74,60.6,0.87,24.00,1.00,0.49,1.12,0.00,1.25,0,1.38,0.24655,
,1.50,0,1.60,242,1.72,24.3,1.82,14.9,1.96,26.2,2.09,58.364,2.22,60.6,2.34,24.00,2.47,0.48,2.61,0.00,2.76,0,2.91,0.23889,
,3.02,0,3.14,244,3.23,24.7,3.36,14.9,3.47,26.8,3.62,58.364,3.76,60.6,3.90,24.00,4.03,0.48,4.16,0.00,4.31,0,4.46,0.24051,
,4.58,0,4.68,245,4.79,25.1,4.88,14.9,5.03,25.6,5.15,58.424,5.29,60.6,5.43,24.00,5.54,0.48,5.68,0.00,5.81,0,5.95,0.26999,
,6.07,0,6.18,247,6.29,24.3,6.38,14.9,6.51,26.2,6.65,58.484,6.79,60.6,6.94,24.00,7.06,0.50,7.20,0.00,7.32,0,7.47,0.23419,
,7.57,0,7.69,248,7.79,24.3,7.92,14.9,8.01,26.1,8.14,58.484,8.27,60.6,8.40,24.00,8.52,0.50,8.65,0.00,8.79,0,8.94,0.26773,
,9.04,0,9.17,250,9.25,23.5,9.35,14.9,9.47,26.2,9.62,58.424,9.76,60.6,9.89,24.00,10.02,0.50,10.18,0.00,10.33,0,10.49,0.26529,
,10.61,0,10.73,251,10.86,24.3,10.97,14.5,11.11,25.8,11.25,58.364,11.39,60.6,11.53,24.00,11.68,0.51,11.81,0.00,11.96,0,12.10,0.23312,
,12.20,0,12.33,253,12.48,24.3,12.59,14.9,12.73,26.3,12.87,58.304,13.01,60.6,13.15,24.00,13.30,0.48,13.47,0.00,13.62,0,13.77,0.29153,
,13.89,0,14.02,254,14.13,24.7,14.26,14.9,14.40,26.0,14.55,58.364,14.70,60.6,14.82,24.00,14.98,0.49,15.12,0.00,15.25,0,15.39,0.25409,
,15.50,0,15.60,256,15.73,23.9,15.85,14.9,15.99,25.9,16.14,58.424,16.28,60.6,16.43,24.00,16.56,0.48,16.72,0.00,16.84,0,16.98,0.25537,
,17.11,0,17.23,258,17.36,24.7,17.49,14.9,17.64,25.3,17.78,58.564,17.93,60.6,18.07,24.00,18.22,0.48,18.34,-0.03,18.49,0,18.62,0.25409,
,18.75,0,18.87,259,19.00,24.7,19.12,14.9,19.26,25.7,19.41,58.504,19.55,60.6,19.70,24.00,19.84,0.48,19.98,0.00,20.13,0,20.28,0.24811,
,20.38,0,20.50,261,20.61,23.9,20.74,14.9,20.88,26.2,21.03,58.544,21.15,60.6,21.30,24.00,21.43,0.48,21.58,-0.03,21.72,0,21.86,0.24908,
,22.00,0,22.10,263,22.24,24.3,22.35,14.9,22.51,25.7,22.64,58.564,22.80,60.6,22.93,24.00,23.09,0.49,23.23,0.00,23.38,0,23.57,0.25284,
,23.70,0,23.82,264,23.95,24.7,24.08,14.9,24.21,26.3,24.36,58.564,24.52,60.6,24.65,24.00,24.80,0.49,24.94,0.00,25.07,0,25.21,0.27017,
