,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, C,, l,, l/h,, MPa,, ,, ,
,0.10,0,0.22,1298,0.32,0.0,0.43,14.5,0.56,0.0,0.71,32.124,0.85,54.3,0.98,8.00,1.11,0.00,1.23,-0.03,1.36,0,0.01,0.42557,
,1.60,0,1.71,1300,1.81,0.0,1.92,14.5,2.05,0.0,2.19,33.364,2.32,54.3,2.45,8.00,2.59,0.00,2.73,-0.03,2.87,0,1.49,0.42557,
1,3.12,0,3.23,1301,3.34,0.0,3.44,14.5,3.57,0.0,3.70,36.564,3.83,54.3,3.98,8.00,4.10,0.00,4.22,0.00,4.36,0,3.00,0.42557,
,4.62,0,4.73,1303,4.84,0.0,4.95,14.5,5.09,0.0,5.23,37.684,5.37,54.3,5.50,8.00,5.62,0.00,5.75,-0.03,5.88,0,4.50,0.42557,
,6.13,0,6.24,1304,6.35,0.0,6.46,20.8,6.59,0.0,6.72,38.244,6.86,54.3,6.99,8.00,7.12,3.11,7.24,0.00,7.37,0,6.02,0.42557,
,7.59,0,7.70,1306,7.81,65.1,7.93,22.0,8.06,58.0,8.20,39.004,8.33,53.8,8.47,8.00,8.61,1.81,8.74,0.00,8.88,1,7.50,0.12933,
,9.13,8,9.24,1307,9.35,57.6,9.46,26.3,9.58,97.4,9.72,38.984,9.86,53.8,9.97,8.00,10.10,3.03,10.22,0.00,10.36,1,9.02,0.09656,
,10.60,14,10.69,1309,10.78,59.2,10.89,28.2,11.00,89.9,11.14,39.684,11.26,54.3,11.39,8.00,11.52,2.53,11.66,-0.03,11.82,2,10.49,0.07465,
,12.07,18,12.18,1310,12.30,51.8,12.42,27.8,12.56,73.6,12.70,40.924,12.84,53.8,12.97,8.00,13.09,2.35,13.23,0.00,13.38,2,11.96,0.08990,
,13.63,21,13.74,1312,13.85,41.6,13.96,27.1,14.09,63.4,14.24,41.864,14.38,54.3,14.51,8.00,14.65,2.35,14.79,0.00,14.91,2,13.52,0.11493,
,15.18,23,15.28,1313,15.39,38.0,15.52,27.1,15.64,59.3,15.77,41.244,15.91,54.3,16.05,8.00,16.18,2.38,16.31,0.00,16.44,2,15.07,0.10297,
,16.70,26,16.80,1315,16.91,33.7,17.03,25.9,17.17,54.0,17.31,39.984,17.46,54.3,17.59,8.00,17.71,0.61,17.84,-0.03,17.97,2,16.58,0.13040,
,18.20,26,18.31,1316,18.42,22.7,18.53,23.5,18.66,33.9,18.81,39.364,18.93,54.3,19.05,8.00,19.17,1.72,19.30,0.00,19.43,3,18.09,0.14401,
,19.66,27,19.76,1318,19.85,40.8,19.96,23.5,20.09,57.1,20.23,39.244,20.37,54.3,20.50,8.00,20.62,1.82,20.75,0.00,20.89,3,19.56,0.30890,
,21.11,29,21.21,1319,21.32,41.2,21.43,25.5,21.56,59.6,21.71,37.804,21.85,54.3,21.98,8.00,22.11,1.92,22.25,0.00,22.38,3,21.01,0.23190,
,22.63,30,22.74,1321,22.85,1.2,22.96,17.6,23.09,6.9,23.22,37.044,23.36,54.7,23.49,8.00,23.61,0.19,23.74,0.00,23.87,3,22.52,0.22360,
,24.12,28,24.23,1322,24.34,5.1,24.45,19.2,24.58,7.3,24.72,36.804,24.86,54.7,24.99,8.00,25.12,0.65,25.24,0.00,25.38,3,24.01,0.18463,
,25.63,27,25.74,1324,25.85,40.0,25.96,24.7,26.08,60.6,26.22,36.684,26.34,54.7,26.47,8.00,26.60,1.87,26.72,-0.03,26.86,3,25.52,0.23889,
,27.08,28,27.17,1325,27.28,40.0,27.39,23.9,27.54,56.5,27.66,36.364,27.81,54.7,27.94,8.00,28.07,1.82,28.19,0.00,28.33,3,26.98,0.27368,
,28.56,29,28.67,1326,28.78,36.9,28.89,23.1,29.00,50.7,29.14,33.744,29.26,54.7,29.38,8.00,29.50,1.64,29.63,0.00,29.76,3,28.47,0.25476,
,29.98,30,30.08,1328,30.17,36.1,30.28,23.1,30.41,48.6,30.57,30.864,30.71,55.2,30.84,8.00,30.98,1.59,31.12,0.00,31.26,3,29.89,0.28235,
,31.52,30,31.62,1329,31.73,37.6,31.83,23.5,31.96,54.2,32.10,30.864,32.24,55.2,32.37,8.00,32.49,1.79,32.62,0.00,32.75,3,31.40,0.30759,
,33.02,31,33.12,1331,33.22,36.9,33.33,23.5,33.46,52.6,33.60,29.544,33.74,55.2,33.87,8.00,33.99,1.77,34.12,-0.03,34.25,3,32.90,0.31030,
,34.47,31,34.58,1332,34.69,42.4,34.80,23.9,34.92,51.2,35.06,26.544,35.20,55.2,35.31,8.00,35.45,1.70,35.59,0.00,35.75,3,34.37,0.32944,
,35.98,33,36.09,1334,36.21,31.4,36.32,20.0,36.45,22.1,36.60,26.304,36.74,55.6,36.87,8.00,37.00,0.00,37.14,-0.03,37.28,3,35.87,0.37286,
,37.54,31,37.64,1335,37.74,25.5,37.85,21.2,37.98,31.3,38.13,28.104,38.27,55.6,38.41,8.00,38.55,0.00,38.67,0.00,38.82,4,37.42,0.46375,
,39.05,31,39.16,1337,39.28,25.5,39.38,14.5,39.51,29.9,39.64,29.624,39.78,55.6,39.92,8.00,40.05,0.70,40.16,0.60,40.31,4,38.94,0.55267,
,40.55,26,40.66,1338,40.78,26.7,40.88,14.5,41.01,30.8,41.14,30.684,41.28,55.6,41.39,8.00,41.52,0.71,41.65,-0.03,41.78,3,40.44,0.63297,
,42.04,24,42.14,1340,42.25,27.8,42.36,14.5,42.49,31.4,42.63,30.684,42.77,55.6,42.90,8.00,43.02,0.68,43.14,-0.03,43.28,3,41.92,0.65683,
,43.53,24,43.61,1341,43.72,27.5,43.84,14.5,43.99,30.3,44.14,31.484,44.29,56.1,44.42,8.00,44.57,0.76,44.68,0.39,44.83,3,43.42,0.67557,
,45.07,23,45.19,1343,45.30,26.7,45.40,14.5,45.53,31.9,45.66,33.984,45.80,56.1,45.93,8.00,46.07,0.72,46.20,-0.03,46.35,3,44.96,0.69458,
,46.60,22,46.71,1345,46.82,26.3,46.93,14.9,47.07,30.7,47.19,40.864,47.34,56.1,47.47,8.00,47.60,0.70,47.72,0.00,47.86,3,46.49,0.71875,
,48.08,23,48.19,1346,48.31,21.6,48.42,25.1,48.57,39.9,48.69,43.424,48.84,56.5,48.96,8.00,49.08,2.12,49.21,-0.03,49.34,2,47.98,0.73544,
,49.56,24,49.66,1347,49.75,34.5,49.84,25.5,49.97,54.7,50.12,44.304,50.26,56.5,50.38,8.00,50.50,2.54,50.63,-0.03,50.76,2,49.46,0.55716,
,51.03,25,51.13,1349,51.24,36.5,51.36,28.2,51.50,59.9,51.63,44.304,51.77,56.1,51.90,8.00,52.04,2.55,52.17,0.00,52.30,2,50.92,0.60403,
,52.56,27,52.66,1350,52.77,7.5,52.88,29.0,53.01,16.7,53.14,43.304,53.29,56.1,53.42,8.00,53.54,2.37,53.67,-0.03,53.80,3,52.44,0.66251,
,54.07,28,54.16,1352,54.27,51.8,54.38,29.4,54.51,74.6,54.64,41.684,54.78,56.5,54.91,8.00,55.04,2.32,55.16,0.00,55.30,3,53.94,0.81979,
,55.56,29,55.66,1353,55.77,43.9,55.87,26.7,56.00,63.2,56.14,40.624,56.26,56.5,56.38,8.00,56.50,2.00,56.63,-0.03,56.76,3,55.44,0.84137,
,56.98,30,57.09,1355,57.20,13.7,57.32,14.5,57.44,5.2,57.59,38.864,57.71,56.5,57.86,8.00,58.00,0.00,58.14,0.00,58.29,3,56.89,0.87286,
,58.54,28,58.65,1356,58.76,0.0,58.87,14.5,58.99,0.0,59.13,37.724,59.27,56.1,59.40,8.00,59.52,0.00,59.65,0.27,59.79,3,58.43,0.59174,
,60.04,24,60.15,1358,60.25,17.6,60.36,14.5,60.47,26.1,60.61,37.344,60.75,56.1,60.88,8.00,61.01,0.64,61.15,-0.03,61.28,3,59.93,0.50870,
,61.50,21,61.59,1359,61.70,29.0,61.82,22.0,61.94,48.5,62.09,36.044,62.22,56.5,62.35,8.00,62.47,1.28,62.60,-0.03,62.74,3,61.40,0.78125,
,63.00,20,63.10,1361,63.21,31.0,63.34,14.5,63.47,33.3,63.62,35.104,63.76,56.5,63.89,8.00,64.03,0.76,64.15,0.00,64.29,3,62.88,0.87448,
,64.54,18,64.65,1362,64.76,28.2,64.87,14.5,64.99,33.0,65.13,34.044,65.27,56.5,65.40,8.00,65.52,0.76,65.65,0.90,65.78,2,64.43,0.79645,
,66.04,12,66.14,1364,66.25,29.0,66.36,14.5,66.49,33.1,66.63,34.044,66.77,56.1,66.90,8.00,67.02,0.92,67.15,1.20,67.28,1,65.92,0.79660,
,67.53,4,67.64,1365,67.75,38.0,67.86,14.5,67.99,44.2,68.12,34.724,68.25,56.5,68.37,8.00,68.49,1.10,68.61,0.78,68.75,0,67.42,0.81415,
,68.97,0,69.07,1367,69.17,39.2,69.28,14.5,69.41,37.8,69.55,34.724,69.69,57.0,69.83,8.00,69.94,0.95,70.07,1.02,70.20,0,68.87,0.88971,
,70.45,0,70.56,1368,70.65,38.0,70.76,14.5,70.88,42.9,71.01,34.304,71.14,57.0,71.27,8.00,71.40,0.97,71.53,0.84,71.68,0,70.35,0.86133,
,71.94,0,72.07,1370,72.16,39.6,72.27,14.5,72.41,46.1,72.55,31.804,72.69,57.0,72.84,8.00,72.95,1.07,73.10,0.18,73.24,0,71.82,0.86786,
,73.49,0,73.60,1371,73.71,42.0,73.83,14.5,73.96,0.0,74.11,31.924,74.25,57.5,74.38,8.00,74.50,0.00,74.63,0.06,74.76,0,73.38,0.88345,
,75.03,0,75.14,1373,75.25,0.0,75.35,14.5,75.48,0.0,75.63,32.304,75.77,57.5,75.90,8.00,76.03,0.48,76.15,-0.03,76.29,0,74.91,0.00000,
,76.54,0,76.65,1374,76.76,42.0,76.86,14.5,76.99,47.9,77.13,32.684,77.27,57.5,77.40,8.00,77.52,1.28,77.65,0.96,77.78,0,76.43,0.92398,
,78.03,1,78.14,1376,78.25,55.7,78.36,14.5,78.47,78.9,78.61,33.304,78.73,57.5,78.86,8.00,78.99,1.48,79.11,-0.03,79.25,1,77.92,0.93567,
,79.47,4,79.57,1377,79.67,84.7,79.76,38.4,79.88,152.5,80.01,33.844,80.15,57.5,80.27,8.00,80.41,4.89,80.55,0.00,80.70,1,79.37,0.89371,
,80.92,15,81.03,1379,81.13,62.4,81.24,42.4,81.37,157.0,81.52,35.344,81.66,57.5,81.79,8.00,81.91,6.40,82.04,-0.03,82.17,2,80.84,0.89359,
