,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, °C,, l,, l/h,, MPa,, ,, ,
,0.22,0,0.31,181,0.42,50.2,0.54,14.5,0.68,57.2,0.82,63.784,0.95,88.7,1.07,25.00,1.19,1.32,1.32,0.00,0.01,0,0.12,0.87827,
,1.70,4,1.82,182,1.92,37.3,2.05,16.5,2.18,41.4,2.33,63.964,2.47,88.7,2.60,25.00,2.73,1.06,2.85,0.00,1.46,1,1.60,0.93933,
,3.22,5,3.33,184,3.44,51.0,3.55,26.7,3.68,63.8,3.83,65.404,3.96,88.7,4.09,25.00,4.21,2.05,4.34,0.00,2.99,1,3.12,0.90628,
,4.72,9,4.83,185,4.94,47.8,5.05,26.7,5.16,67.4,5.31,65.404,5.44,88.7,5.57,25.00,5.70,2.06,5.82,0.00,4.47,1,4.61,0.94238,
,6.21,12,6.31,187,6.43,53.3,6.53,29.8,6.63,79.2,6.77,65.344,6.89,88.7,7.01,25.00,7.13,2.39,7.26,0.00,5.96,1,6.10,0.93637,
,7.64,16,7.75,188,7.86,51.0,7.97,30.6,8.10,72.2,8.24,65.344,8.38,88.7,8.51,25.00,8.63,2.24,8.75,0.00,7.39,2,7.53,0.94620,
,9.14,19,9.25,190,9.36,45.1,9.47,30.2,9.58,63.0,9.73,68.404,9.87,88.7,10.00,25.00,10.14,2.15,10.29,0.00,8.90,2,9.03,0.93576,
,10.67,21,10.79,191,10.88,18.0,10.99,14.5,11.10,8.7,11.23,70.524,11.36,88.7,11.49,25.00,11.63,0.00,11.77,0.00,10.44,2,10.58,0.90668,
,12.17,20,12.31,193,12.39,27.5,12.51,22.7,12.63,40.4,12.78,71.124,12.92,88.7,13.05,25.00,13.19,1.46,13.35,0.00,11.92,2,12.06,0.42416,
,13.75,19,13.86,194,13.97,36.1,14.08,26.3,14.20,54.5,14.35,71.144,14.50,88.7,14.63,25.00,14.75,1.91,14.89,0.00,13.50,2,13.64,0.79980,
,15.30,21,15.40,196,15.51,39.2,15.62,25.9,15.75,53.3,15.90,70.824,16.04,88.7,16.17,25.00,16.32,1.66,16.44,0.00,15.04,2,15.19,0.83908,
,16.82,23,16.93,197,17.05,41.6,17.15,25.9,17.28,50.5,17.43,71.264,17.58,88.7,17.70,25.00,17.84,1.76,17.97,0.00,16.58,2,16.72,0.83588,
,18.35,26,18.46,199,18.57,41.2,18.68,26.3,18.82,47.2,18.95,73.964,19.10,88.7,19.23,25.00,19.35,1.99,19.48,0.00,18.10,2,18.24,0.83090,
,19.87,28,19.98,200,20.08,54.5,20.19,29.8,20.33,69.2,20.47,77.204,20.62,88.7,20.75,25.00,20.87,2.16,21.00,0.00,19.61,2,19.75,0.81784,
,21.38,30,21.49,202,21.60,60.8,21.71,31.0,21.84,70.2,21.97,78.284,22.09,88.7,22.21,25.00,22.35,2.13,22.49,0.00,21.13,3,21.27,0.87003,
,22.86,32,22.96,203,23.06,60.8,23.17,30.6,23.30,66.7,23.43,78.264,23.58,89.2,23.70,25.00,23.84,2.13,23.97,0.00,22.64,3,22.76,0.90787,
,24.37,33,24.47,205,24.58,60.4,24.69,31.0,24.83,65.8,24.96,77.844,25.11,89.2,25.24,25.00,25.38,2.19,25.52,0.00,24.12,3,24.26,0.89481,
,25.92,35,26.03,206,26.14,53.3,26.25,27.5,26.37,54.3,26.51,75.404,26.65,89.2,26.78,25.00,26.92,1.77,27.08,0.00,25.67,3,25.81,0.87640,
,27.47,35,27.58,208,27.69,7.8,27.82,14.5,27.96,0.0,28.11,71.004,28.25,89.2,28.38,25.00,28.52,0.00,28.66,0.00,27.22,3,27.36,0.79175,
,29.06,33,29.16,209,29.25,0.0,29.36,14.5,29.49,0.0,29.64,69.484,29.78,89.2,29.91,25.00,30.05,0.00,30.19,0.57,28.79,3,28.93,0.23929,
,30.57,29,30.68,211,30.80,0.0,30.90,14.5,31.03,0.0,31.16,69.304,31.31,89.2,31.44,25.00,31.57,0.50,31.68,0.81,30.33,3,30.46,0.23700,
,32.07,22,32.18,212,32.30,20.0,32.40,14.5,32.53,20.0,32.66,66.964,32.80,89.7,32.94,25.00,33.09,0.47,33.22,-0.03,31.83,3,31.96,0.33002,
,33.60,19,33.71,214,33.82,22.4,33.93,14.5,34.07,22.4,34.19,65.704,34.33,89.2,34.44,25.00,34.58,0.50,34.71,0.00,33.35,3,33.49,0.42224,
,35.08,18,35.17,215,35.30,52.2,35.39,29.4,35.52,65.2,35.66,65.704,35.79,89.7,35.91,25.00,36.04,1.92,36.16,0.00,34.84,3,34.98,0.45569,
,36.55,19,36.64,217,36.75,48.6,36.86,24.7,36.99,35.4,37.12,67.644,37.25,89.7,37.36,25.00,37.50,0.00,37.64,0.00,36.30,2,36.42,0.82852,
,38.03,19,38.14,218,38.25,46.7,38.36,26.3,38.49,54.2,38.64,70.744,38.78,89.7,38.91,25.00,39.05,2.16,39.19,0.00,37.78,2,37.92,0.37061,
,39.58,22,39.67,220,39.79,62.7,39.89,32.5,40.02,74.6,40.16,76.704,40.29,89.7,40.42,25.00,40.54,2.97,40.67,0.00,39.35,2,39.48,0.82083,
,41.07,26,41.17,221,41.31,54.9,41.40,31.4,41.52,59.1,41.65,77.584,41.78,89.7,41.91,25.00,42.05,0.32,42.19,0.00,40.81,2,40.95,0.87936,
,42.62,29,42.73,223,42.84,61.2,42.95,32.2,43.09,79.5,43.24,82.164,43.38,89.7,43.51,25.00,43.64,2.95,43.76,0.00,42.35,3,42.50,0.53961,
,44.15,32,44.26,225,44.37,76.5,44.48,36.1,44.60,96.2,44.74,84.324,44.88,89.7,45.01,25.00,45.14,2.34,45.26,0.00,43.90,3,44.04,0.90073,
,45.64,35,45.75,226,45.86,61.6,45.97,30.6,46.10,64.2,46.24,84.324,46.38,89.7,46.51,25.00,46.63,2.26,46.75,0.00,45.40,3,45.53,0.84415,
,47.14,36,47.25,228,47.35,56.1,47.44,29.4,47.58,55.5,47.70,82.584,47.83,89.2,47.96,25.00,48.08,1.83,48.21,0.00,46.89,3,47.03,0.77063,
,48.61,37,48.72,229,48.82,45.9,48.93,25.9,49.08,50.2,49.21,80.284,49.35,89.2,49.49,25.00,49.63,1.86,49.77,0.00,48.36,3,48.50,0.68103,
,50.17,37,50.28,231,50.39,58.0,50.51,30.6,50.64,63.8,50.77,75.704,50.91,89.2,51.04,25.00,51.17,2.29,51.30,0.00,49.92,3,50.06,0.66724,
,51.71,38,51.82,232,51.93,52.2,52.05,29.4,52.17,57.6,52.30,73.464,52.44,89.2,52.59,25.00,52.71,0.78,52.84,0.00,51.45,3,51.60,0.74490,
,53.21,38,53.32,234,53.43,60.4,53.55,31.0,53.67,78.1,53.81,72.004,53.95,89.2,54.09,25.00,54.22,2.51,54.34,0.00,52.97,4,53.10,0.46597,
,54.73,39,54.84,235,54.95,74.5,55.07,34.1,55.20,101.9,55.35,71.204,55.49,89.2,55.62,25.00,55.75,3.99,55.87,0.00,54.47,4,54.62,0.84625,
,56.26,41,56.36,237,56.48,82.7,56.58,38.0,56.71,127.1,56.85,69.944,56.99,89.2,57.12,25.00,57.24,2.88,57.37,0.00,56.01,4,56.15,0.94156,
