,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, C,, l,, l/h,, MPa,, ,, ,
,240.60,73,240.70,1053,240.80,96.9,240.91,50.6,241.04,186.4,241.18,69.844,241.32,58.8,241.45,23.00,241.57,7.33,241.70,-0.03,241.83,5,240.48,0.87881,
,242.10,74,242.19,1054,242.30,93.7,242.41,51.8,242.54,277.4,242.68,69.844,242.82,59.3,242.95,23.00,243.07,8.00,243.19,0.00,243.33,5,241.97,0.99225,
,243.55,77,243.65,1056,243.74,62.4,243.85,42.4,243.96,154.9,244.10,68.904,244.24,59.7,244.36,23.00,244.47,6.19,244.61,-0.03,244.73,5,243.45,0.98624,
,244.98,79,245.10,1057,245.20,74.5,245.31,42.0,245.44,153.2,245.57,68.904,245.71,60.2,245.84,23.00,245.97,5.44,246.09,-0.03,246.23,6,244.89,0.96252,
,246.48,80,246.60,1059,246.70,93.3,246.81,43.1,246.94,172.7,247.07,69.104,247.21,60.2,247.34,23.00,247.46,6.05,247.59,-0.03,247.72,6,246.38,0.95261,
,247.97,81,248.09,1060,248.19,98.8,248.30,49.0,248.43,207.8,248.58,69.164,248.72,60.2,248.85,23.00,248.99,9.34,249.14,-0.03,249.28,6,247.87,0.95419,
,249.53,83,249.64,1062,249.75,93.7,249.87,50.6,250.00,267.4,250.15,69.284,250.29,60.2,250.42,23.00,250.54,9.70,250.67,-0.03,250.80,6,249.42,0.99216,
,251.05,86,251.16,1063,251.27,73.3,251.38,42.0,251.51,148.5,251.64,69.284,251.77,60.6,251.90,23.00,252.03,5.57,252.15,-0.03,252.29,6,250.94,0.98996,
,252.54,87,252.65,1065,252.76,79.6,252.86,42.0,252.99,150.2,253.14,69.904,253.27,60.6,253.40,23.00,253.52,5.52,253.65,-0.03,253.78,6,252.43,0.93167,
,254.00,88,254.11,1066,254.21,84.7,254.30,41.6,254.41,147.6,254.55,69.904,254.67,60.6,254.79,23.00,254.92,0.61,255.04,-0.03,255.18,6,253.91,0.94098,
,255.43,87,255.54,1067,255.65,0.0,255.76,14.5,255.89,0.0,256.02,69.904,256.16,60.6,256.30,23.00,256.42,0.93,256.54,-0.03,256.67,7,255.32,0.42645,
,256.90,85,257.00,1069,257.11,62.7,257.21,33.3,257.32,107.3,257.45,69.664,257.59,61.1,257.72,23.00,257.88,3.82,258.00,-0.03,258.15,7,256.80,0.80304,
,258.40,85,258.52,1070,258.62,99.6,258.73,41.6,258.87,165.0,258.99,69.164,259.14,61.1,259.26,23.00,259.39,5.29,259.51,-0.03,259.65,7,258.29,0.92676,
,259.90,85,260.01,1072,260.12,98.4,260.23,54.9,260.37,286.4,260.51,68.344,260.64,61.5,260.76,23.00,260.88,7.07,261.01,-0.03,261.14,6,259.79,0.96649,
,261.38,87,261.49,1073,261.61,47.8,261.71,33.7,261.84,83.4,261.98,67.544,262.13,62.0,262.25,23.00,262.39,0.00,262.51,-0.03,262.64,7,261.27,0.96481,
