,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, °C,, l,, l/h,, MPa,, ,, ,
,0.91,44,1.00,888,1.13,82.0,1.22,38.8,1.35,127.5,1.48,84.744,0.12,88.7,0.25,24.00,0.38,4.06,0.50,0.00,0.64,4,0.78,0.94168,
,2.41,47,2.50,889,2.63,83.5,2.72,44.7,2.85,173.4,3.00,83.804,1.62,88.7,1.75,24.00,1.88,4.22,2.00,0.00,2.14,4,2.28,0.95032,
,3.98,51,4.07,891,4.19,95.3,4.31,47.5,4.44,218.5,4.58,77.504,3.14,88.7,3.27,24.00,3.43,7.36,3.55,0.00,3.70,4,3.85,0.97751,
,5.49,56,5.59,892,5.68,89.0,5.78,48.6,5.89,238.5,6.02,75.164,4.71,88.7,4.82,24.00,4.96,8.34,5.10,0.00,5.25,4,5.38,0.97403,
,6.91,62,7.01,894,7.10,87.8,7.23,51.8,7.32,272.9,7.47,74.624,6.17,88.7,6.27,24.00,6.42,11.88,6.52,0.00,6.69,4,6.81,0.91180,
,8.37,69,8.46,895,8.59,85.5,8.68,51.8,8.81,268.7,8.94,74.784,7.61,88.7,7.74,24.00,7.87,12.97,7.99,0.00,8.13,4,8.27,0.85834,
,9.84,74,9.93,897,10.06,81.2,10.16,50.2,10.29,192.6,10.45,78.124,9.07,89.7,9.18,24.00,9.31,11.84,9.43,0.00,9.57,4,9.71,0.87173,
,11.31,78,11.41,898,11.52,92.2,11.62,52.2,11.71,283.0,11.86,81.064,10.58,89.2,10.70,24.00,10.83,11.47,10.95,0.00,11.09,5,11.21,0.96945,
,12.82,84,12.94,900,13.07,97.6,13.17,56.1,13.29,342.0,13.45,84.044,11.99,89.2,12.12,24.00,12.26,15.92,12.40,0.00,12.55,5,12.70,0.82291,
